location_name,cluster,YLDs,YLLs
World Bank High Income,Adult_late,49241105.11946761,31088691.411773156
World Bank Low Income,Adult_late,13296008.857581766,22440232.872189026
World Bank Lower Middle Income,Adult_late,81798529.58976321,85455903.78710243
World Bank Upper Middle Income,Adult_late,77964897.47209354,74526637.62606418
World Bank High Income,Adult_early,35594119.74359182,18263579.432966243
World Bank Low Income,Adult_early,17168853.053651206,27358671.51605792
World Bank Lower Middle Income,Adult_early,76685268.2004488,66483742.02963339
World Bank Upper Middle Income,Adult_early,67730764.01828371,50739670.17840106
World Bank High Income,Infant,12606574.304734588,14443839.582122063
World Bank Low Income,Infant,18083997.484466318,163030247.23914945
World Bank Lower Middle Income,Infant,71410805.29592054,325730221.6764175
World Bank Upper Middle Income,Infant,31365319.541990772,57892465.60727859
World Bank High Income,Senescent,72469547.8830777,123060465.4311318
World Bank Low Income,Senescent,15738204.710721534,45642761.20123241
World Bank Lower Middle Income,Senescent,103006252.09388232,293945150.51358175
World Bank Upper Middle Income,Senescent,116334948.74181981,275905144.0956274
