cause_name,age,age_name,incidence,cluster_3,cluster_4,cause_outline,incidence_rate
Acne vulgaris,0,0-1 years,-0.5397207358765788,Adult,Adult (early),B.9.7,0
Acne vulgaris,1,1-4 years,-0.5397207358765788,Adult,Adult (early),B.9.7,0
Acne vulgaris,5,5-9 years,-0.3710819413566899,Adult,Adult (early),B.9.7,0.007958288225870986
Acne vulgaris,10,10-14 years,1.965274407459894,Adult,Adult (early),B.9.7,0.08056814907137595
Acne vulgaris,15,15-19 years,3.655428071136558,Adult,Adult (early),B.9.7,0.05031572413158428
Acne vulgaris,20,20-24 years,0.8460760093318128,Adult,Adult (early),B.9.7,0.013303085851611307
Acne vulgaris,25,25-29 years,0.2191112527029398,Adult,Adult (early),B.9.7,0.010544141115836675
Acne vulgaris,30,30-34 years,0.01426393938169737,Adult,Adult (early),B.9.7,0.008056687216631428
Acne vulgaris,35,35-39 years,-0.1195531760400422,Adult,Adult (early),B.9.7,0.006082837706487242
Acne vulgaris,40,40-44 years,-0.2248128342602436,Adult,Adult (early),B.9.7,0.0044694538154601325
Acne vulgaris,45,45-49 years,-0.3060275605377397,Adult,Adult (early),B.9.7,0.003218009703781801
Acne vulgaris,50,50-54 years,-0.3758670634641485,Adult,Adult (early),B.9.7,0.0023274295374954117
Acne vulgaris,55,55-59 years,-0.4145339057319392,Adult,Adult (early),B.9.7,0.0018548431484712313
Acne vulgaris,60,60-64 years,-0.4354818156978847,Adult,Adult (early),B.9.7,0.0015519079978571486
Acne vulgaris,65,65-69 years,-0.4472502861380273,Adult,Adult (early),B.9.7,0.0013791371731878264
Acne vulgaris,70,70-74 years,-0.4568615534621814,Adult,Adult (early),B.9.7,0.001215528706274212
Acne vulgaris,75,75-79 years,-0.4681727066932166,Adult,Adult (early),B.9.7,0.0010243253409095226
Acne vulgaris,80,80-84 years,-0.4805932174963399,Adult,Adult (early),B.9.7,8.189359626701793e-4
Acne vulgaris,85,85-89 years,-0.4926439919005094,Adult,Adult (early),B.9.7,6.189465786040259e-4
Acne vulgaris,90,90-94 years,-0.5064428471877914,Adult,Adult (early),B.9.7,3.9132504082624097e-4
