"income_group","year","High income","Low income","Lower middle income","Upper middle income"
"High income",2021,0.999540211723952,0,0,0
"High income",2022,0.999540211723952,0,0,0
"High income",2023,0.999540211723952,0,0,0
"High income",2024,0.999540211723952,0,0,0
"High income",2025,0.999540211723952,0,0,0
"High income",2026,0.999540211723952,0,0,0
"High income",2027,0.999540211723952,0,0,0
"High income",2028,0.999540211723952,0,0,0
"High income",2029,0.999540211723952,0,0,0
"High income",2030,0.999540211723952,0,0,0
"High income",2031,0.999540211723952,0,0,0
"High income",2032,0.999540211723952,0,0,0
"High income",2033,0.999540211723952,0,0,0
"High income",2034,0.999540211723952,0,0,0
"High income",2035,0.999540211723952,0,0,0
"High income",2036,0.999540211723952,0,0,0
"High income",2037,0.999540211723952,0,0,0
"High income",2038,0.999540211723952,0,0,0
"High income",2039,0.999540211723952,0,0,0
"High income",2040,0.999540211723952,0,0,0
"High income",2041,0.999540211723952,0,0,0
"High income",2042,0.999540211723952,0,0,0
"High income",2043,0.999540211723952,0,0,0
"High income",2044,0.999540211723952,0,0,0
"High income",2045,0.999540211723952,0,0,0
"High income",2046,0.999540211723952,0,0,0
"High income",2047,0.999540211723952,0,0,0
"High income",2048,0.999540211723952,0,0,0
"High income",2049,0.999540211723952,0,0,0
"High income",2050,0.999540211723952,0,0,0
"High income",2051,0.999540211723952,0,0,0
"High income",2052,0.999540211723952,0,0,0
"High income",2053,0.999540211723952,0,0,0
"High income",2054,0.999540211723952,0,0,0
"High income",2055,0.999540211723952,0,0,0
"High income",2056,0.999540211723952,0,0,0
"High income",2057,0.999540211723952,0,0,0
"High income",2058,0.999540211723952,0,0,0
"High income",2059,0.999540211723952,0,0,0
"High income",2060,0.999540211723952,0,0,0
"High income",2061,0.999540211723952,0,0,0
"High income",2062,0.999540211723952,0,0,0
"High income",2063,0.999540211723952,0,0,0
"High income",2064,0.999540211723952,0,0,0
"High income",2065,0.999540211723952,0,0,0
"High income",2066,0.999540211723952,0,0,0
"High income",2067,0.999540211723952,0,0,0
"High income",2068,0.999540211723952,0,0,0
"High income",2069,0.999540211723952,0,0,0
"High income",2070,0.999540211723952,0,0,0
"High income",2071,0.999540211723952,0,0,0
"High income",2072,0.999540211723952,0,0,0
"High income",2073,0.999540211723952,0,0,0
"High income",2074,0.999540211723952,0,0,0
"High income",2075,0.999540211723952,0,0,0
"High income",2076,0.999540211723952,0,0,0
"High income",2077,0.999540211723952,0,0,0
"High income",2078,0.999540211723952,0,0,0
"High income",2079,0.999540211723952,0,0,0
"High income",2080,0.999540211723952,0,0,0
"High income",2081,0.999540211723952,0,0,0
"High income",2082,0.999540211723952,0,0,0
"High income",2083,0.999540211723952,0,0,0
"High income",2084,0.999540211723952,0,0,0
"High income",2085,0.999540211723952,0,0,0
"High income",2086,0.999540211723952,0,0,0
"High income",2087,0.999540211723952,0,0,0
"High income",2088,0.999540211723952,0,0,0
"High income",2089,0.999540211723952,0,0,0
"High income",2090,0.999540211723952,0,0,0
"High income",2091,0.999540211723952,0,0,0
"High income",2092,0.999540211723952,0,0,0
"High income",2093,0.999540211723952,0,0,0
"High income",2094,0.999540211723952,0,0,0
"High income",2095,0.999540211723952,0,0,0
"High income",2096,0.999540211723952,0,0,0
"High income",2097,0.999540211723952,0,0,0
"High income",2098,0.999540211723952,0,0,0
"High income",2099,0.999540211723952,0,0,0
"High income",2100,0.999540211723952,0,0,0
"High income",2101,0.999540211723952,0,0,0
"High income",2102,0.999540211723952,0,0,0
"High income",2103,0.999540211723952,0,0,0
"High income",2104,0.999540211723952,0,0,0
"High income",2105,0.999540211723952,0,0,0
"High income",2106,0.999540211723952,0,0,0
"High income",2107,0.999540211723952,0,0,0
"High income",2108,0.999540211723952,0,0,0
"High income",2109,0.999540211723952,0,0,0
"High income",2110,0.999540211723952,0,0,0
"High income",2111,0.999540211723952,0,0,0
"High income",2112,0.999540211723952,0,0,0
"High income",2113,0.999540211723952,0,0,0
"High income",2114,0.999540211723952,0,0,0
"High income",2115,0.999540211723952,0,0,0
"High income",2116,0.999540211723952,0,0,0
"High income",2117,0.999540211723952,0,0,0
"High income",2118,0.999540211723952,0,0,0
"High income",2119,0.999540211723952,0,0,0
"High income",2120,0.999540211723952,0,0,0
"High income",2121,0.999540211723952,0,0,0
"High income",2122,0.999540211723952,0,0,0
"High income",2123,0.999540211723952,0,0,0
"High income",2124,0.999540211723952,0,0,0
"High income",2125,0.999540211723952,0,0,0
"High income",2126,0.999540211723952,0,0,0
"High income",2127,0.999540211723952,0,0,0
"High income",2128,0.999540211723952,0,0,0
"High income",2129,0.999540211723952,0,0,0
"High income",2130,0.999540211723952,0,0,0
"High income",2131,0.999540211723952,0,0,0
"High income",2132,0.999540211723952,0,0,0
"High income",2133,0.999540211723952,0,0,0
"High income",2134,0.999540211723952,0,0,0
"High income",2135,0.999540211723952,0,0,0
"High income",2136,0.999540211723952,0,0,0
"High income",2137,0.999540211723952,0,0,0
"High income",2138,0.999540211723952,0,0,0
"High income",2139,0.999540211723952,0,0,0
"High income",2140,0.999540211723952,0,0,0
"High income",2141,0.999540211723952,0,0,0
"High income",2142,0.999540211723952,0,0,0
"High income",2143,0.999540211723952,0,0,0
"High income",2144,0.999540211723952,0,0,0
"High income",2145,0.999540211723952,0,0,0
"High income",2146,0.999540211723952,0,0,0
"High income",2147,0.999540211723952,0,0,0
"High income",2148,0.999540211723952,0,0,0
"High income",2149,0.999540211723952,0,0,0
"High income",2150,0.999540211723952,0,0,0
"High income",2151,0.999540211723952,0,0,0
"High income",2152,0.999540211723952,0,0,0
"High income",2153,0.999540211723952,0,0,0
"High income",2154,0.999540211723952,0,0,0
"High income",2155,0.999540211723952,0,0,0
"High income",2156,0.999540211723952,0,0,0
"High income",2157,0.999540211723952,0,0,0
"High income",2158,0.999540211723952,0,0,0
"High income",2159,0.999540211723952,0,0,0
"High income",2160,0.999540211723952,0,0,0
"High income",2161,0.999540211723952,0,0,0
"High income",2162,0.999540211723952,0,0,0
"High income",2163,0.999540211723952,0,0,0
"High income",2164,0.999540211723952,0,0,0
"High income",2165,0.999540211723952,0,0,0
"High income",2166,0.999540211723952,0,0,0
"High income",2167,0.999540211723952,0,0,0
"High income",2168,0.999540211723952,0,0,0
"High income",2169,0.999540211723952,0,0,0
"High income",2170,0.999540211723952,0,0,0
"High income",2171,0.999540211723952,0,0,0
"High income",2172,0.999540211723952,0,0,0
"High income",2173,0.999540211723952,0,0,0
"High income",2174,0.999540211723952,0,0,0
"High income",2175,0.999540211723952,0,0,0
"High income",2176,0.999540211723952,0,0,0
"High income",2177,0.999540211723952,0,0,0
"High income",2178,0.999540211723952,0,0,0
"High income",2179,0.999540211723952,0,0,0
"High income",2180,0.999540211723952,0,0,0
"High income",2181,0.999540211723952,0,0,0
"High income",2182,0.999540211723952,0,0,0
